HPV16,HPV18,HPVoHR,HPVLR
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0577,0.0838
0.041886394,0.073342215,0.0174,0.0138
0.041886394,0.073342215,0.0174,0.0138
0.041886394,0.073342215,0.0174,0.0138
0.040753832,0.063235437,0.0174,0.0138
0.040753832,0.063235437,0.0174,0.0138
0.040753832,0.063235437,0.0174,0.0138
0.040753832,0.063235437,0.0138,0.0068
0.040753832,0.063235437,0.0138,0.0068
0.040753832,0.063235437,0.0138,0.0068
0.040753832,0.063235437,0.0138,0.0068
0.040753832,0.063235437,0.0138,0.0068
0.040753832,0.063235437,0.0138,0.0068
0.040753832,0.063235437,0.0008,0.0051
0.040753832,0.063235437,0.0008,0.0051
0.040753832,0.063235437,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.03390454,0.053604685,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.031887888,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
0.019845747,0.020615766,0.0008,0.0051
